AAM,lograte
[H:1][H:2].[O:3][H:4]>>[H:1].[H:2][O:3][H:4],7.492239133541649
[H:1][H:2].[O:3][O:4]>>[H:1].[H:2][O:3][O:4],-5.1687240753422214
[H:1].[H:2][O:3][O:4][H:5]>>[H:1][H:2].[O:3][O:4][H:5],5.832476287767308
[H:1][O:2][O:3][H:4].[O:5]>>[H:1][O:5].[O:2][O:3][H:4],6.284057271143079
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][C:7](=[O:8])[H:9]>>[H:4][O:5][O:6][C:7](=[O:8])[H:9].[O:1]=[C:2][H:3],4.06068079069388
[H:1].[O:2]=[C:3]([H:4])[H:5]>>[H:1][H:5].[O:2]=[C:3][H:4],6.394131828248392
[O:1].[O:2]=[C:3]([H:4])[H:5]>>[O:1][H:5].[O:2]=[C:3][H:4],7.217437488214954
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[H:8]>>[H:1][C:2]([H:3])([H:4])[H:8].[O:5]=[C:6][H:7],4.279993647965921
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][H:7]>>[H:4][O:5][O:6][H:7].[O:1]=[C:2][H:3],3.1783579766948376
[H:1].[O:2]=[C:3]([H:4])[O:5][H:6]>>[H:1][C:3]([O:2])([H:4])[O:5][H:6],4.881414843659277
[H:1][O:2][O:3][H:4].[O:5][C:6](=[O:7])[H:8]>>[H:1][O:5][C:6](=[O:7])[H:8].[O:2][O:3][H:4],4.639549666694957
[H:1].[O:2]=[C:3]([H:4])[H:5]>>[H:1][C:3]([O:2])([H:4])[H:5],6.224417423826703
[O:1]=[C:2]([H:3])[H:4].[O:5][C:6]([H:7])([H:8])[H:9]>>[H:4][O:5][C:6]([H:7])([H:8])[H:9].[O:1]=[C:2][H:3],4.914816506813936
[H:1].[O:2]=[C:3]([H:4])[H:5]>>[H:1][O:2][C:3]([H:4])[H:5],5.4087253050247845
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7]=[C:8][H:9]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][C:8](=[O:7])[H:9],1.4337262696184043
[H:1].[H:2][O:3][C:4]([H:5])([H:6])[H:7]>>[H:1][H:7].[H:2][O:3][C:4]([H:5])[H:6],5.6520605233762815
[H:1].[H:2][O:3][C:4]([H:5])([H:6])[H:7]>>[H:1][H:2].[O:3][C:4]([H:5])([H:6])[H:7],4.943362698576029
